model,task_id,role,hard,judge,total,reason,status,error
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,C01,Coding,77.8,,77.8,"pytest passed=7 failed=2; tampered=[]; ================
______________________ test_member_after_volume_discount ______________________

    def test_member_after_volume_discount():
        # 100000 -> 90000 -> member 5% => 85500 -> tax 10% => 94050
>       assert calculate_invoice([100000], 0.10, True) == 94050
E       assert 93500 == 94050
E        +  where 93500 = calculate_invoice([100000], 0.1, True)

C:\AI\Benchmark_v7_2_1\runs\DeepSeek-R1-0528-Qwen3-8B-Q4_K_M\C01\tests\test_pricing.py:11: AssertionError
___________________ test_bankers_rounding_must_not_be_used ____________________

    def test_bankers_rounding_must_not_be_used():
        # 1015 * 1.10 = 1116.5 -> HALF_UP 1117, Python round() would choose 1116
>       assert calculate_invoice([1015],0.10,False)==1117
E       assert 1116 == 1117
E        +  where 1116 = calculate_invoice([1015], 0.1, False)

..\..\..\fixtures\C01\_grader\test_hidden_pricing.py:14: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_pricing.py::test_member_after_volume_discount - assert 9350...
FAILED ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py::test_bankers_rounding_must_not_be_used
2 failed, 7 passed in 0.04s
",DONE,
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,C02,Coding,16.7,,16.7,"pytest passed=1 failed=5; tampered=[]; 

..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py:7: AssertionError
__________________________ test_split_all_boundaries __________________________

    def test_split_all_boundaries():
        d=pd.date_range('2026-02-01',periods=6)
        df=pd.DataFrame({'date':d,'v':range(6)})
        tr,va,te=split_time(df,d[2],d[4])
>       assert len(tr)==3 and len(va)==2 and len(te)==1
E       assert (3 == 3 and 3 == 2)
E        +  where 3 = len(        date  v\n0 2026-02-01  0\n1 2026-02-02  1\n2 2026-02-03  2)
E        +  and   3 = len(        date  v\n2 2026-02-03  2\n3 2026-02-04  3\n4 2026-02-05  4)

..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py:18: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_pipeline.py::test_no_future_leakage - assert 5.0 < 1e-09
FAILED tests\test_pipeline.py::test_rolling_at_index_2 - assert 330.0 < 1e-09
FAILED tests\test_pipeline.py::test_disjoint_splits - assert [2, 3] == [3]
FAILED ..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py::test_first_row_uses_only_self
FAILED ..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py::test_split_all_boundaries
5 failed, 1 passed in 0.30s
",DONE,
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,C03,Coding,50.0,,50.0,"pytest passed=4 failed=4; tampered=[]; ytest.raises(RuntimeError): ApiClient(tr,max_retries=5).get('x')
>       assert len(calls)==1
E       AssertionError: assert 6 == 1
E        +  where 6 = len(['x', 'x', 'x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:8: AssertionError
____________________ test_arbitrary_exception_not_retried _____________________

    def test_arbitrary_exception_not_retried():
        calls=[]
        def tr(k):
            calls.append(k)
            raise ValueError('bad local input')
        with pytest.raises(ValueError): ApiClient(tr,max_retries=3).get('x')
>       assert len(calls)==1
E       AssertionError: assert 4 == 1
E        +  where 4 = len(['x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:16: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_404_not_retried - AssertionError: asser...
FAILED tests\test_api_client.py::test_failure_not_cached - AssertionError: as...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_400_immediate
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_arbitrary_exception_not_retried
4 failed, 4 passed in 0.04s
",DONE,
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,D01,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: missing; yearly_summary.csv: missing; trend.png: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,D02,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: missing; mtbf.png: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,D03,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: yield_chart.png: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,K01,Critic,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: review.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,K02,Critic,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: security_review.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,K03,Critic,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: ppt_review.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,P01,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: factory_ai_review.pptx: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,P02,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: investment_committee.pptx: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,P03,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: incident_review.pptx: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,R01,Research,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: research_brief.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,R02,Research,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: procurement_recommendation.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,R03,Research,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: incident_brief.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,W01,Writer,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: executive_memo.md: missing
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,W02,Writer,62.5,75.0,69.375,"required 3/6; forbidden=none; chars=385 | JUDGE: 타임라인과 영향이 분리되지 않음(이상 징후 섹션에 타임라인과 영향이 혼합됨). 직접 원인/프로세스 원인 구분 불명확. 재발방지 조치의 owner/검증 방법이 생략됨. 다만, 비난 없는 전문적 문체와 숫자 정확성은 준수함.",DONE,
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,W03,Writer,100.0,85.0,91.75,"required 7/7; forbidden=none; chars=812 | JUDGE: Revised SOP addresses audit findings (ticketing, role separation, backup checks, rollback clarity) and policy requirements. Audit findings section directly maps solutions to each issue. Checklist structure exists but lacks explicit phase differentiation (pre-execution/verification/rollback). Emergency procedure is mentioned but not distinctly separated from general process. Responsibility assignment is implied but not explicitly detailed in steps.",DONE,
Devstral-Small-2505-Q4_K_M,C01,Coding,100.0,,100.0,"pytest passed=9 failed=0; tampered=[]; .........                                                                [100%]
9 passed in 0.02s
",DONE,
Devstral-Small-2505-Q4_K_M,C02,Coding,100.0,,100.0,"pytest passed=6 failed=0; tampered=[]; ......                                                                   [100%]
6 passed in 0.25s
",DONE,
Devstral-Small-2505-Q4_K_M,C03,Coding,50.0,,50.0,"pytest passed=4 failed=4; tampered=[]; test_failure_not_cached():
        state={'n':0}
        def tr(k):
            state['n']+=1
            return (503,None) if state['n']<=2 else (200,'recovered')
        c=ApiClient(tr,max_retries=1)
>       with pytest.raises(RuntimeError): c.get('x')
E       Failed: DID NOT RAISE RuntimeError

C:\AI\Benchmark_v7_2_1\runs\Devstral-Small-2505-Q4_K_M\C03\tests\test_api_client.py:37: Failed
_________________________ test_zero_retries_503_once __________________________

    def test_zero_retries_503_once():
        calls=[]
        def tr(k): calls.append(k); return 503,None
>       with pytest.raises(RuntimeError): ApiClient(tr,max_retries=0).get('x')
E       Failed: DID NOT RAISE RuntimeError

..\..\..\fixtures\C03\_grader\test_hidden_api.py:21: Failed
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_500_retried_then_success - AssertionErr...
FAILED tests\test_api_client.py::test_429_retried - AssertionError: assert No...
FAILED tests\test_api_client.py::test_failure_not_cached - Failed: DID NOT RA...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_zero_retries_503_once
4 failed, 4 passed in 0.04s
",DONE,
Devstral-Small-2505-Q4_K_M,D01,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: missing; yearly_summary.csv: missing; trend.png: missing
Devstral-Small-2505-Q4_K_M,D02,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: missing; maintenance_summary.csv: missing; mtbf.png: missing
Devstral-Small-2505-Q4_K_M,D03,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: yield_chart.png: missing
Devstral-Small-2505-Q4_K_M,K01,Critic,92.5,95.0,93.375,"required 5/6; forbidden=none; chars=887 | JUDGE: 실제 산출물은 원자료에 기반해 중대한 사실오류(전체 공장 불량률 오인, AI 단일 원인 주장, 즉시 확대 권고)를 정확히 탐지했으며, 각 이슈의 심각도와 수정안이 명확하다. 2025년 대비 50% 감소 주장에 대한 수치적 오류는 '불량률 계산 오류' 항목에서 간접적으로 반영되어 완전성 확보. 단계적 개선 제안과 근거 명시로 실행 가능성 확보.",DONE,
Devstral-Small-2505-Q4_K_M,K02,Critic,88.8,95.0,90.97,"required 3/4; forbidden=none; chars=1642 | JUDGE: The security_review.md identifies four distinct vulnerabilities (hardcoded password, SQL injection, input validation, logging) with realistic scenarios and specific recommendations. All issues are directly derived from auth.py's code flaws. The severity ratings align with the risks (Critical for SQLi, High for hardcoded secrets). No external assumptions were made beyond the provided files. Minor improvement could be adding exact validation rules for 'input validation' issue.",DONE,
Devstral-Small-2505-Q4_K_M,K03,Critic,85.0,75.0,81.5,"required 5/5; forbidden=none; chars=465 | JUDGE: 실제 산출물은 사실오류(3.1% 수치/ROI 계산 미완료/검사시간 단축 근거 불명확)와 의사결정 리스크(6라인 확대 전 검증 생략)를 정확히 지적했으나, 시각·가독성 문제(차트 부재/디자인 점수 75)로 인해 정보전달 효과성이 제한됨. [PPT AUDIT]의 디자인 점수와 차트 누락이 반영되어 75~89 범위에 해당.",DONE,
Devstral-Small-2505-Q4_K_M,P01,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: factory_ai_review.pptx: empty/incomplete table; factory_ai_review.pptx: too many sparse slides (0.571)
Devstral-Small-2505-Q4_K_M,P02,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: investment_committee.pptx: missing
Devstral-Small-2505-Q4_K_M,P03,PPT,47.9,50.0,48.32,"open=OK; slides=6/6; required=4/6; visuals=0/1,charts=0/0,tables=0/1; objective=11.0/40; forbidden=분진이 근본원인으로 확정; design=81.0/100 (weighted 20.2/25) sparse=[4] empty_tables=0 dict_leaks=0; judge_cap=50 | JUDGE: [objective cap 50; raw judge 65.0] PPT AUDIT indicates critical issues: timeline_events_present (0/5) and action_rows_complete (0/3) failures. While root cause uncertainty is addressed, lack of visual timelines and incomplete action tables reduce decision utility. Sparse slide 4 and missing charts lower information density despite acceptable design score. Forbidden phrase '분진이 근본원인으로 확정' is avoided per audit.",DONE,
Devstral-Small-2505-Q4_K_M,R01,Research,91.0,95.0,92.4,"required 4/5; citations 12/4; forbidden=none; chars=747 | JUDGE: 최신 공고 우선순위를 정확히 판단하고, 사전안내와 확정공고의 예산/마감일 차이를 명시적으로 충돌 정보로 분리. 모든 주장에 원자료 인용(예: [final_notice.txt:L4])으로 연결. 의사결정 요건(기술성 평가 기준, 컨소시엄 조건 등)은 완전히 정리했으나, 리스크 항목(예: 예산 증액의 실행 가능성, 마감일 연장의 전략적 영향)은 원자료에 없어 생략. 산출물에 없는 표/차트는 포함되지 않음.",DONE,
Devstral-Small-2505-Q4_K_M,R02,Research,100.0,95.0,98.25,"required 6/6; citations 12/5; forbidden=none; chars=911 | JUDGE: 모든 벤더의 필수조건 검증이 요구사항과 일치하며, 2년 총비용 계산 정확. Vendor A와 C의 탈락 사유가 구체적 인용(예: [vendor_A.txt:L5], [vendor_C.txt:L4])으로 연결됨. Vendor B의 추천 근거도 모든 조건 충족을 명시. 산출물에 없는 시각요소/표 없음. 단, 'SLA 99.90% 이상'의 경우 Vendor B가 정확히 기준선과 같으나 '이상'이라는 표현에 대한 약간의 해석 여지가 있음.",DONE,
Devstral-Small-2505-Q4_K_M,R03,Research,91.0,95.0,92.4,"required 4/5; citations 13/5; forbidden=none; chars=769 | JUDGE: 타임라인은 원자료 기반 정확히 구성되었으며, 직접 트리거와 근본원인 구분이 명확합니다. 확인 불가능한 항목에 대한 누락데이터 표현도 적절합니다. 가능한 근본원인을 복수로 제시하고, 다음 검증조치는 원자료 기반 논리적 추론으로 구성되었습니다. 다만 '베어링 상태 점검 및 기록 시스템 개선'은 manual.txt/maintenance_note.txt에 명시된 내용과 직접적인 연관성이 약간 모호한 점이 있습니다.",DONE,
Devstral-Small-2505-Q4_K_M,W01,Writer,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: executive_memo.md: missing
Devstral-Small-2505-Q4_K_M,W02,Writer,85.0,85.0,85.0,"required 6/6; forbidden=none; chars=633 | JUDGE: 타임라인과 영향 섹션이 명확히 분리되었고, 직접 원인과 근본원인을 구분하여 기술함. 확인되지 않은 수치는 포함하지 않음. 다만 재발방지 조치에 책임자(owner) 및 검증 방법이 명시되지 않아 일부 수정 필요. 전문적 문체 유지됨.",DONE,
