model,gguf_files,total_gib,top_folder,paths
google_gemma-3-27b-it-Q6_K,1,20.644,20-24GB,C:\AI\Models\20-24GB\Gemma-3-27B-Q6_K\google_gemma-3-27b-it-Q6_K.gguf
Qwen3.5-27B-Q6_K,1,20.566,24GB,C:\AI\Models\24GB\Qwen3.5-27B-Q6_K\Qwen3.5-27B-Q6_K.gguf
Qwen3-30B-A3B-Q5_K_M,1,20.234,24GB,C:\AI\Models\24GB\Qwen3-30B-A3B-Q5_K_M\Qwen3-30B-A3B-Q5_K_M.gguf
Qwen3.5-35B-A3B-Q4_K_M,1,19.715,24GB,C:\AI\Models\24GB\Qwen3.5-35B-A3B-Q4_K_M\Qwen3.5-35B-A3B-Q4_K_M.gguf
granite-4.0-h-small-Q4_K_M,1,18.139,24GB,C:\AI\Models\24GB\Granite-4.0-H-Small-Q4_K_M\granite-4.0-h-small-Q4_K_M.gguf
google_gemma-3-27b-it-Q5_K_M,1,17.948,18-20GB,C:\AI\Models\18-20GB\Gemma-3-27B-Q5_K_M\google_gemma-3-27b-it-Q5_K_M.gguf
Qwen3-30B-A3B-Q4_K_M,1,17.282,20GB,C:\AI\Models\20GB\Qwen3-30B-A3B-Q4_K_M\Qwen3-30B-A3B-Q4_K_M.gguf
google_gemma-3-27b-it-Q4_K_M,1,15.41,16-18GB,C:\AI\Models\16-18GB\Gemma-3-27B-Q4_K_M\google_gemma-3-27b-it-Q4_K_M.gguf
DeepSeek-R1-Distill-Qwen-14B-Q8_0,1,14.623,16GB,C:\AI\Models\16GB\DeepSeek-R1-Distill-Qwen-14B-high-Q8_0\DeepSeek-R1-Distill-Qwen-14B-Q8_0.gguf
Qwen2.5-Coder-14B-Instruct-Q8_0,1,14.623,16GB,C:\AI\Models\16GB\Qwen2.5-Coder-14B-high-Q8_0\Qwen2.5-Coder-14B-Instruct-Q8_0.gguf
google_gemma-3-27b-it-Q4_K_S,1,14.597,14-16GB,C:\AI\Models\14-16GB\Gemma-3-27B-Q4_K_S\google_gemma-3-27b-it-Q4_K_S.gguf
Phi-4-reasoning-plus-Q8_0,1,14.51,16GB,C:\AI\Models\16GB\Phi-4-Reasoning-Plus-Q8_0\Phi-4-reasoning-plus-Q8_0.gguf
Ministral-3-14B-Instruct-2512-Q8_0,1,13.374,16GB,C:\AI\Models\16GB\Ministral-3-14B-Instruct-Q8_0\Ministral-3-14B-Instruct-2512-Q8_0.gguf
Ministral-3-14B-Reasoning-2512-Q8_0,1,13.374,16GB,C:\AI\Models\16GB\Ministral-3-14B-Reasoning-Q8_0\Ministral-3-14B-Reasoning-2512-Q8_0.gguf
Devstral-Small-2505-Q4_K_M,1,13.349,16GB,C:\AI\Models\16GB\Devstral-Small-24B-Q4_K_M\Devstral-Small-2505-Q4_K_M.gguf
google_gemma-3-12b-it-Q8_0,1,11.651,12-14GB,C:\AI\Models\12-14GB\Gemma-3-12B-Q8_0\google_gemma-3-12b-it-Q8_0.gguf
Qwen_Qwen3-14B-Q6_K_L,1,11.64,12-14GB,C:\AI\Models\12-14GB\Qwen3-14B-Q6_K_L\Qwen_Qwen3-14B-Q6_K_L.gguf
